year,city,country,avg_temp,10 YEAR MA
1750,New York,United States,10.07,
1751,New York,United States,10.79,
1752,New York,United States,2.81,
1753,New York,United States,9.52,
1754,New York,United States,9.88,
1755,New York,United States,6.61,
1756,New York,United States,9.94,
1757,New York,United States,8.89,
1758,New York,United States,8.15,
1759,New York,United States,9.01,8.567
1760,New York,United States,7.73,8.333
1761,New York,United States,10.18,8.272
1762,New York,United States,9.55,8.946
1763,New York,United States,7.23,8.717
1764,New York,United States,9.55,8.684
1765,New York,United States,8.96,8.919
1766,New York,United States,10.09,8.934
1767,New York,United States,8.52,8.897
1768,New York,United States,8.67,8.949
1769,New York,United States,9.1,8.958
1770,New York,United States,9.04,9.089
1771,New York,United States,10.18,9.089
1772,New York,United States,9.64,9.098
1773,New York,United States,10.08,9.383
1774,New York,United States,9.52,9.38
1775,New York,United States,10.24,9.508
1776,New York,United States,9.13,9.412
1777,New York,United States,8.77,9.437
1778,New York,United States,6.89,9.259
1779,New York,United States,0.25,8.374
1780,New York,United States,,8.3
1781,New York,United States,9.79,8.256666667
1782,New York,United States,9.15,8.202222222
1783,New York,United States,8.81,8.061111111
1784,New York,United States,8.4,7.936666667
1785,New York,United States,8.49,7.742222222
1786,New York,United States,8.98,7.725555556
1787,New York,United States,8.97,7.747777778
1788,New York,United States,9.77,8.067777778
1789,New York,United States,9.42,9.086666667
1790,New York,United States,9.39,9.117
1791,New York,United States,9.37,9.075
1792,New York,United States,8.72,9.032
1793,New York,United States,9.88,9.139
1794,New York,United States,9.83,9.282
1795,New York,United States,9.21,9.354
1796,New York,United States,8.97,9.353
1797,New York,United States,8.85,9.341
1798,New York,United States,9.71,9.335
1799,New York,United States,9.19,9.312
1800,New York,United States,9.58,9.331
1801,New York,United States,10,9.394
1802,New York,United States,10.29,9.551
1803,New York,United States,10.07,9.57
1804,New York,United States,9.69,9.556
1805,New York,United States,10.43,9.678
1806,New York,United States,9.38,9.719
1807,New York,United States,9.17,9.751
1808,New York,United States,9.57,9.737
1809,New York,United States,8.87,9.705
1810,New York,United States,9.35,9.682
1811,New York,United States,9.43,9.625
1812,New York,United States,7.8,9.376
1813,New York,United States,8.93,9.262
1814,New York,United States,8.7,9.163
1815,New York,United States,8.27,8.947
1816,New York,United States,7.92,8.801
1817,New York,United States,7.78,8.662
1818,New York,United States,8.13,8.518
1819,New York,United States,9.07,8.538
1820,New York,United States,8.98,8.501
1821,New York,United States,8.53,8.411
1822,New York,United States,9.84,8.615
1823,New York,United States,8.64,8.586
1824,New York,United States,9.29,8.645
1825,New York,United States,10.21,8.839
1826,New York,United States,9.92,9.039
1827,New York,United States,9.26,9.187
1828,New York,United States,10.7,9.444
1829,New York,United States,9.17,9.454
1830,New York,United States,10.32,9.588
1831,New York,United States,9.07,9.642
1832,New York,United States,9.15,9.573
1833,New York,United States,9.15,9.624
1834,New York,United States,9.32,9.627
1835,New York,United States,8.48,9.454
1836,New York,United States,7.51,9.213
1837,New York,United States,8.12,9.099
1838,New York,United States,8.73,8.902
1839,New York,United States,9.17,8.902
1840,New York,United States,9.27,8.797
1841,New York,United States,9,8.79
1842,New York,United States,9.41,8.816
1843,New York,United States,8.49,8.75
1844,New York,United States,9.12,8.73
1845,New York,United States,9.49,8.831
1846,New York,United States,9.66,9.046
1847,New York,United States,9.3,9.164
1848,New York,United States,9.54,9.245
1849,New York,United States,8.83,9.211
1850,New York,United States,9.1,9.194
1851,New York,United States,9.26,9.22
1852,New York,United States,8.98,9.177
1853,New York,United States,9.68,9.296
1854,New York,United States,9.56,9.34
1855,New York,United States,9.11,9.302
1856,New York,United States,8.2,9.156
1857,New York,United States,8.52,9.078
1858,New York,United States,9.13,9.037
1859,New York,United States,9.17,9.071
1860,New York,United States,9.18,9.079
1861,New York,United States,9.47,9.1
1862,New York,United States,9,9.102
1863,New York,United States,9.09,9.043
1864,New York,United States,9.29,9.016
1865,New York,United States,9.64,9.069
1866,New York,United States,8.95,9.144
1867,New York,United States,8.59,9.151
1868,New York,United States,7.95,9.033
1869,New York,United States,8.85,9.001
1870,New York,United States,10.04,9.087
1871,New York,United States,8.94,9.034
1872,New York,United States,8.61,8.995
1873,New York,United States,8.44,8.93
1874,New York,United States,9.06,8.907
1875,New York,United States,7.74,8.717
1876,New York,United States,9.35,8.757
1877,New York,United States,10.15,8.913
1878,New York,United States,10.38,9.156
1879,New York,United States,9.37,9.208
1880,New York,United States,9.99,9.203
1881,New York,United States,9.77,9.286
1882,New York,United States,9.22,9.347
1883,New York,United States,8.59,9.362
1884,New York,United States,9.36,9.392
1885,New York,United States,8.37,9.455
1886,New York,United States,8.9,9.41
1887,New York,United States,9.1,9.305
1888,New York,United States,8.31,9.098
1889,New York,United States,9.86,9.147
1890,New York,United States,9.62,9.11
1891,New York,United States,10,9.133
1892,New York,United States,9.15,9.126
1893,New York,United States,8.68,9.135
1894,New York,United States,9.95,9.194
1895,New York,United States,9.22,9.279
1896,New York,United States,9.51,9.34
1897,New York,United States,9.63,9.393
1898,New York,United States,10.24,9.586
1899,New York,United States,9.51,9.551
1900,New York,United States,10.4,9.629
1901,New York,United States,9.29,9.558
1902,New York,United States,9.43,9.586
1903,New York,United States,9.32,9.65
1904,New York,United States,7.87,9.442
1905,New York,United States,9.1,9.43
1906,New York,United States,9.9,9.469
1907,New York,United States,8.49,9.355
1908,New York,United States,9.87,9.318
1909,New York,United States,9.51,9.318
1910,New York,United States,9.55,9.233
1911,New York,United States,9.91,9.295
1912,New York,United States,9.24,9.276
1913,New York,United States,10.76,9.42
1914,New York,United States,9.02,9.535
1915,New York,United States,9.85,9.61
1916,New York,United States,9.1,9.53
1917,New York,United States,8.24,9.505
1918,New York,United States,9.51,9.469
1919,New York,United States,10.05,9.523
1920,New York,United States,9.19,9.487
1921,New York,United States,10.91,9.587
1922,New York,United States,10.04,9.667
1923,New York,United States,9.51,9.542
1924,New York,United States,8.85,9.525
1925,New York,United States,9.72,9.512
1926,New York,United States,8.54,9.456
1927,New York,United States,9.7,9.602
1928,New York,United States,9.82,9.633
1929,New York,United States,9.97,9.625
1930,New York,United States,10.22,9.728
1931,New York,United States,11.03,9.74
1932,New York,United States,10.44,9.78
1933,New York,United States,10.18,9.847
1934,New York,United States,9.48,9.91
1935,New York,United States,9.48,9.886
1936,New York,United States,9.73,10.005
1937,New York,United States,10.16,10.051
1938,New York,United States,10.42,10.111
1939,New York,United States,10.07,10.121
1940,New York,United States,8.53,9.952
1941,New York,United States,10.19,9.868
1942,New York,United States,9.96,9.82
1943,New York,United States,9.58,9.76
1944,New York,United States,10.01,9.813
1945,New York,United States,9.94,9.859
1946,New York,United States,10.63,9.949
1947,New York,United States,9.91,9.924
1948,New York,United States,9.83,9.865
1949,New York,United States,11.39,9.997
1950,New York,United States,9.72,10.116
1951,New York,United States,10.27,10.124
1952,New York,United States,10.52,10.18
1953,New York,United States,11.17,10.339
1954,New York,United States,10.31,10.369
1955,New York,United States,10.39,10.414
1956,New York,United States,9.75,10.326
1957,New York,United States,10.5,10.385
1958,New York,United States,9.16,10.318
1959,New York,United States,10.77,10.256
1960,New York,United States,9.76,10.26
1961,New York,United States,10.03,10.236
1962,New York,United States,9.32,10.116
1963,New York,United States,9.32,9.931
1964,New York,United States,9.96,9.896
1965,New York,United States,9.63,9.82
1966,New York,United States,9.75,9.82
1967,New York,United States,9.3,9.7
1968,New York,United States,9.75,9.759
1969,New York,United States,9.76,9.658
1970,New York,United States,9.77,9.659
1971,New York,United States,10.01,9.657
1972,New York,United States,9.49,9.674
1973,New York,United States,10.96,9.838
1974,New York,United States,10.08,9.85
1975,New York,United States,10.56,9.943
1976,New York,United States,9.53,9.921
1977,New York,United States,9.96,9.987
1978,New York,United States,9.17,9.929
1979,New York,United States,10.02,9.955
1980,New York,United States,9.86,9.964
1981,New York,United States,9.95,9.958
1982,New York,United States,9.78,9.987
1983,New York,United States,10.51,9.942
1984,New York,United States,10.26,9.96
1985,New York,United States,10.26,9.93
1986,New York,United States,10.15,9.992
1987,New York,United States,10.32,10.028
1988,New York,United States,9.93,10.104
1989,New York,United States,9.66,10.068
1990,New York,United States,11.32,10.214
1991,New York,United States,11.36,10.355
1992,New York,United States,9.57,10.334
1993,New York,United States,10.04,10.287
1994,New York,United States,10,10.261
1995,New York,United States,10.24,10.259
1996,New York,United States,9.81,10.225
1997,New York,United States,10,10.193
1998,New York,United States,11.82,10.382
1999,New York,United States,11.16,10.532
2000,New York,United States,9.97,10.397
2001,New York,United States,10.93,10.354
2002,New York,United States,11.25,10.522
2003,New York,United States,9.84,10.502
2004,New York,United States,10.39,10.541
2005,New York,United States,10.68,10.585
2006,New York,United States,11.52,10.756
2007,New York,United States,10.63,10.819
2008,New York,United States,10.64,10.701
2009,New York,United States,10.14,10.599
2010,New York,United States,11.36,10.738
2011,New York,United States,11.27,10.772
2012,New York,United States,11.97,10.844
